plate_number,starting_price,current_offer,time_to_go,offers_number
TI 342,N/A,SFr. 20'000, 20.05.2026,5
TI 10243,N/A,SFr. 900, 13.05.2026,3
TI 10638,N/A,SFr. 900, 13.05.2026,2
TI 22990,N/A,SFr. 3'500, 13.05.2026,14
TI 336611,N/A,SFr. 600, 20.05.2026,0
TI 20671,SFr. 550,N/A,N/A,N/A
TI 32468,SFr. 450,N/A,N/A,N/A
TI 37250,SFr. 450,N/A,N/A,N/A
TI 46914,SFr. 450,N/A,N/A,N/A
TI 47896,SFr. 400,N/A,N/A,N/A
TI 50936,SFr. 350,N/A,N/A,N/A
TI 55471,SFr. 400,N/A,N/A,N/A
TI 63846,SFr. 400,N/A,N/A,N/A
TI 65391,SFr. 350,N/A,N/A,N/A
TI 70932,SFr. 300,N/A,N/A,N/A
TI 79801,SFr. 300,N/A,N/A,N/A
TI 92719,SFr. 350,N/A,N/A,N/A
TI 111856,SFr. 200,N/A,N/A,N/A
TI 136555,SFr. 200,N/A,N/A,N/A
